jobId,city_id
1904164,1
1904203,1
1904163,1
1904161,1
1904161,2
1904232,2
1904145,1
1879013,23
1879013,12
1879013,2
1897266,1
1897266,2
1897266,18
1881891,1
1896079,2
1898888,1
1893090,2
1894498,1
1881091,1
1882315,2
1882315,10
1882304,10
1900252,2
1895702,1
1895791,10
1895791,2
1895663,1
1895683,12
1897645,1
1897762,2
1899109,7
1899109,6
1898903,32
1898909,32
1899001,51
1899040,10
1899073,7
1900278,1
1900278,2
1900278,20
1899334,43
1902283,1
1902283,2
1902299,1
1902351,31
1902225,1
1902292,2
1902251,7
1904144,12
1903866,2
1904148,2
1904148,1
1904055,1
1904085,10
1904083,10
1904106,6
1903051,18
1902320,1
1878647,50
1878647,1
1878647,11
1904198,2
1898862,1
1898916,11
1898916,2
1898916,12
1898955,2
1898955,1
1898980,1
1898999,2
1899012,1
1883931,7
1897833,1
1899036,2
1899036,1
1902264,6
1902224,1
1902277,6
1902997,1
1902902,1
1887191,1
1902282,9
1902282,10
1902282,9
1899660,1
1901297,23
1901297,2
1899197,2
1886579,1
1885674,2
1885674,1
1892948,1
1893004,2
1877422,26
1896984,1
1896984,18
1881714,1
1897648,1
1897673,10
1897710,6
1897714,2
1895741,2
1897638,2
1897432,7
1904007,1
1904012,1
1887455,2
1904158,11
1904150,2
1904149,11
1902055,1
1904147,2
1904143,11
1900240,2
1904032,12
1904032,2
1904065,40
1904065,2
1904065,10
1904022,2
